order_item_id,order_id,product_name,quantity,unit_price
5107,1040,Laptop Stand,1,29.95
5108,1041,Portable SSD 1TB,1,89.99
5109,1041,USB-C Hub,3,34.5
5110,1042,Portable SSD 1TB,1,89.99
5111,1042,Mechanical Keyboard,2,79.99
5112,1043,Portable SSD 1TB,1,89.99
5113,1043,Webcam 1080p,1,45.0
5114,1044,Office Chair,2,189.0
5115,1044,27in Monitor,1,219.0
5116,1045,27in Monitor,1,219.0
5117,1046,Mechanical Keyboard,3,79.99
5118,1046,Laptop Stand,1,29.95
5119,1046,27in Monitor,2,219.0
5120,1047,27in Monitor,3,219.0
5121,1048,Office Chair,1,189.0
5122,1048,Standing Desk Converter,1,159.0
5123,1048,Desk Lamp,2,24.5
5124,1048,Laptop Stand,3,29.95
5125,1049,Desk Lamp,3,24.5
5126,1050,Portable SSD 1TB,1,89.99
5127,1050,Standing Desk Converter,3,159.0
5128,1051,Desk Lamp,3,24.5
5129,1051,Wireless Mouse,1,18.99
5130,1051,Desk Lamp,2,24.5
5131,1052,Bluetooth Speaker,1,39.0
5132,1052,Desk Lamp,3,24.5
5133,1052,Desk Lamp,1,24.5
5134,1052,USB-C Hub,2,34.5
5135,1053,USB-C Hub,1,34.5
5136,1053,Webcam 1080p,3,45.0
5137,1054,Noise Cancelling Headphones,3,129.0
5138,1054,Office Chair,2,189.0
5139,1054,Desk Lamp,3,24.5
5140,1055,USB-C Hub,3,34.5
5141,1055,USB-C Hub,3,34.5
5142,1055,Bluetooth Speaker,3,39.0
5143,1055,Standing Desk Converter,1,159.0
5144,1056,Desk Lamp,1,24.5
5145,1056,Noise Cancelling Headphones,2,129.0
5146,1056,Desk Lamp,2,24.5
5147,1056,Noise Cancelling Headphones,3,129.0
5148,1057,Laptop Stand,2,29.95
5149,1058,Bluetooth Speaker,2,39.0
5150,1058,Laptop Stand,1,29.95
5151,1058,Bluetooth Speaker,2,39.0
5152,1059,USB-C Hub,1,34.5
5153,1060,Noise Cancelling Headphones,1,129.0
5154,1061,27in Monitor,3,219.0
5155,1061,Wireless Mouse,3,18.99
5156,1061,Office Chair,3,189.0
5157,1062,Bluetooth Speaker,1,39.0
5158,1062,Noise Cancelling Headphones,2,129.0
5159,1062,Bluetooth Speaker,2,39.0
5160,1063,Webcam 1080p,3,45.0
5161,1064,Laptop Stand,1,29.95
5162,1064,Portable SSD 1TB,3,89.99
5163,1064,Mechanical Keyboard,1,79.99
5164,1065,Mechanical Keyboard,1,79.99
5165,1065,Laptop Stand,3,29.95
5166,1065,Laptop Stand,1,29.95
5167,1065,Webcam 1080p,3,45.0
5168,1066,Noise Cancelling Headphones,3,129.0
5169,1066,Portable SSD 1TB,3,89.99
5170,1067,Portable SSD 1TB,3,89.99
5171,1068,Wireless Mouse,1,18.99
5172,1068,Webcam 1080p,3,45.0
5173,1068,Webcam 1080p,2,45.0
5174,1069,Wireless Mouse,1,18.99
5175,1069,27in Monitor,3,219.0
5176,1069,Bluetooth Speaker,2,39.0
5177,1070,27in Monitor,3,219.0
5178,1071,USB-C Hub,3,34.5
5179,1072,Noise Cancelling Headphones,2,129.0
5180,1072,Desk Lamp,2,24.5
5181,1073,Laptop Stand,2,29.95
5182,1073,Standing Desk Converter,2,159.0
5183,1074,Wireless Mouse,1,18.99
5184,1075,Portable SSD 1TB,1,89.99
5185,1075,Bluetooth Speaker,1,39.0
5186,1076,Desk Lamp,3,24.5
5187,1076,Noise Cancelling Headphones,2,129.0
5188,1076,Portable SSD 1TB,2,89.99
5189,1077,Webcam 1080p,1,45.0
5190,1077,Office Chair,1,189.0
5191,1077,Laptop Stand,2,29.95
5192,1077,USB-C Hub,2,34.5
5193,1078,Office Chair,3,189.0
5194,1078,Webcam 1080p,1,45.0
5195,1078,Mechanical Keyboard,2,79.99
5196,1078,Portable SSD 1TB,1,89.99
5197,1079,Mechanical Keyboard,2,79.99
5198,1080,27in Monitor,2,219.0
5199,1080,Webcam 1080p,2,45.0
5200,1081,Wireless Mouse,2,18.99
5201,1082,27in Monitor,1,219.0
5202,1082,Noise Cancelling Headphones,3,129.0
5203,1082,Standing Desk Converter,1,159.0
5204,1082,Office Chair,3,189.0
5205,1083,USB-C Hub,2,34.5
5206,1083,Standing Desk Converter,1,159.0
5207,1083,Noise Cancelling Headphones,1,129.0
5208,1084,USB-C Hub,2,34.5
5209,1084,Portable SSD 1TB,2,89.99
5210,1084,Portable SSD 1TB,2,89.99
5211,1084,Standing Desk Converter,3,159.0
5212,1085,Webcam 1080p,1,45.0
5213,1085,Noise Cancelling Headphones,1,129.0
5214,1085,Laptop Stand,1,29.95
5215,1085,Portable SSD 1TB,2,89.99
5216,1086,USB-C Hub,2,34.5
5217,1086,USB-C Hub,1,34.5
5218,1086,Noise Cancelling Headphones,3,129.0
5219,1087,Office Chair,1,189.0
5220,1087,Noise Cancelling Headphones,2,129.0
5221,1087,Standing Desk Converter,2,159.0
5222,1087,Mechanical Keyboard,2,79.99
5223,1088,USB-C Hub,3,34.5
5224,1088,Bluetooth Speaker,1,39.0
5225,1089,Laptop Stand,2,29.95
5226,1089,Standing Desk Converter,3,159.0
5227,1090,Mechanical Keyboard,1,79.99
5228,1090,27in Monitor,2,219.0
5229,1091,27in Monitor,3,219.0
5230,1091,27in Monitor,3,219.0
5231,1092,27in Monitor,3,219.0
5232,1093,Desk Lamp,3,24.5
5233,1093,Portable SSD 1TB,2,89.99
5234,1093,Bluetooth Speaker,3,39.0
5235,1093,Bluetooth Speaker,3,39.0
5236,1094,Bluetooth Speaker,2,39.0
5237,1094,27in Monitor,2,219.0
5238,1094,USB-C Hub,2,34.5
5239,1095,Bluetooth Speaker,2,39.0
5240,1095,Webcam 1080p,3,45.0
5241,1095,Wireless Mouse,2,18.99
5242,1095,Office Chair,1,189.0
5243,1096,Desk Lamp,2,24.5
5244,1096,Wireless Mouse,1,18.99
5245,1096,Laptop Stand,2,29.95
5246,1097,Bluetooth Speaker,1,39.0
5247,1098,Desk Lamp,3,24.5
5248,1098,Office Chair,3,189.0
5249,1098,Wireless Mouse,2,18.99
5250,1098,Portable SSD 1TB,3,89.99
5251,1099,Laptop Stand,3,29.95
5252,1099,Desk Lamp,3,24.5
5253,1100,Wireless Mouse,2,18.99
5254,1100,USB-C Hub,2,34.5
5255,1101,Office Chair,3,189.0
5256,1102,Wireless Mouse,1,18.99
5257,1102,Standing Desk Converter,2,159.0
5258,1103,Office Chair,3,189.0
5259,1103,Portable SSD 1TB,1,89.99
5260,1103,Laptop Stand,2,29.95
5261,1103,Webcam 1080p,2,45.0
5262,1104,Laptop Stand,3,29.95
5263,1104,Portable SSD 1TB,1,89.99
5264,1104,Bluetooth Speaker,3,39.0
5265,1104,Laptop Stand,1,29.95
5266,1105,USB-C Hub,3,34.5
5267,1105,Bluetooth Speaker,2,39.0
5268,1105,Webcam 1080p,2,45.0
5269,1106,Laptop Stand,1,29.95
5270,1106,Portable SSD 1TB,3,89.99
5271,1107,Laptop Stand,2,29.95
5272,1107,Bluetooth Speaker,3,39.0
5273,1108,27in Monitor,3,219.0
5274,1108,Standing Desk Converter,1,159.0
5275,1108,Webcam 1080p,3,45.0
5276,1108,Noise Cancelling Headphones,3,129.0
5277,1109,27in Monitor,3,219.0
5278,1109,Standing Desk Converter,3,159.0
5279,1109,Bluetooth Speaker,3,39.0
5280,1110,Bluetooth Speaker,3,39.0
5281,1111,Office Chair,2,189.0
5282,1111,Wireless Mouse,2,18.99
5283,1111,Webcam 1080p,1,45.0
5284,1111,Mechanical Keyboard,2,79.99
5285,1112,Mechanical Keyboard,1,79.99
5286,1112,27in Monitor,1,219.0
5287,1112,USB-C Hub,2,34.5
5288,1112,USB-C Hub,3,34.5
5289,1113,Bluetooth Speaker,2,39.0
5290,1114,Portable SSD 1TB,2,89.99
5291,1114,27in Monitor,1,219.0
5292,1115,Standing Desk Converter,3,159.0
5293,1115,27in Monitor,3,219.0
5294,1116,Wireless Mouse,2,18.99
5295,1116,Laptop Stand,3,29.95
5296,1116,Standing Desk Converter,1,159.0
5297,1116,Desk Lamp,3,24.5
5298,1117,Standing Desk Converter,2,159.0
5299,1117,Mechanical Keyboard,3,79.99
5300,1117,Mechanical Keyboard,2,79.99
5301,1118,Mechanical Keyboard,2,79.99
5302,1118,Bluetooth Speaker,3,39.0
5303,1118,Desk Lamp,2,24.5
5304,1118,Webcam 1080p,2,45.0
5305,1119,27in Monitor,1,219.0
5306,1119,Portable SSD 1TB,1,89.99
5307,1119,Webcam 1080p,1,45.0
5308,1119,Bluetooth Speaker,2,39.0
5309,1120,Office Chair,1,189.0
5310,1120,Standing Desk Converter,3,159.0
5311,1120,USB-C Hub,2,34.5
5312,1121,27in Monitor,2,219.0
5313,1122,Office Chair,1,189.0
5314,1122,Noise Cancelling Headphones,1,129.0
5315,1122,Mechanical Keyboard,2,79.99
5316,1122,Laptop Stand,1,29.95
5317,1123,Wireless Mouse,2,18.99
5318,1123,Office Chair,2,189.0
5319,1123,Mechanical Keyboard,2,79.99
5320,1123,USB-C Hub,2,34.5
5321,1124,Wireless Mouse,2,18.99
5322,1124,USB-C Hub,3,34.5
5323,1125,27in Monitor,1,219.0
5324,1125,Wireless Mouse,2,18.99
5325,1125,Desk Lamp,3,24.5
5326,1126,Standing Desk Converter,2,159.0
5327,1126,Desk Lamp,3,24.5
5328,1127,USB-C Hub,1,34.5
5329,1128,Mechanical Keyboard,1,79.99
5330,1128,Office Chair,3,189.0
5331,1128,Portable SSD 1TB,3,89.99
5332,1129,USB-C Hub,2,34.5
5333,1129,Mechanical Keyboard,2,79.99
5334,1129,USB-C Hub,1,34.5
5335,1129,Mechanical Keyboard,2,79.99
5336,1130,USB-C Hub,1,34.5
5337,1130,Desk Lamp,3,24.5
5338,1130,Office Chair,1,189.0
5339,1130,Bluetooth Speaker,3,39.0
5340,1131,Standing Desk Converter,1,159.0
5341,1131,Webcam 1080p,2,45.0
5342,1132,Portable SSD 1TB,2,89.99
5343,1133,Portable SSD 1TB,2,89.99
5344,1133,27in Monitor,3,219.0
5345,1134,Office Chair,2,189.0
5346,1135,Office Chair,3,189.0
5347,1136,Noise Cancelling Headphones,2,129.0
5348,1137,Bluetooth Speaker,2,39.0
5349,1138,Webcam 1080p,3,45.0
5350,1138,Wireless Mouse,2,18.99
5351,1138,USB-C Hub,2,34.5
5352,1139,Standing Desk Converter,3,159.0
5353,1139,Bluetooth Speaker,1,39.0
5354,1140,27in Monitor,1,219.0
5355,1140,Laptop Stand,3,29.95
5356,1140,Laptop Stand,3,29.95
5357,1141,Bluetooth Speaker,2,39.0
5358,1141,Standing Desk Converter,2,159.0
5359,1142,27in Monitor,1,219.0
5360,1142,Standing Desk Converter,2,159.0
5361,1143,Webcam 1080p,1,45.0
5362,1144,Mechanical Keyboard,1,79.99
5363,1145,Webcam 1080p,3,45.0
5364,1145,Noise Cancelling Headphones,3,129.0
5365,1145,Desk Lamp,2,24.5
5366,1146,Bluetooth Speaker,1,39.0
5367,1147,Laptop Stand,1,29.95
5368,1147,Bluetooth Speaker,2,39.0
5369,1147,Webcam 1080p,1,45.0
5370,1148,Noise Cancelling Headphones,2,129.0
5371,1148,Standing Desk Converter,2,159.0
5372,1148,Noise Cancelling Headphones,2,129.0
5373,1149,Desk Lamp,3,24.5
5374,1149,Desk Lamp,2,24.5
5375,1150,USB-C Hub,3,34.5
5376,1150,Noise Cancelling Headphones,1,129.0
5377,1150,Noise Cancelling Headphones,3,129.0
5378,1151,Office Chair,2,189.0
5379,1151,Laptop Stand,1,29.95
5380,1152,Laptop Stand,3,29.95
5381,1153,Webcam 1080p,2,45.0
5382,1153,Portable SSD 1TB,3,89.99
5383,1153,Noise Cancelling Headphones,1,129.0
5384,1154,Laptop Stand,2,29.95
5385,1154,Wireless Mouse,3,18.99
5386,1154,Laptop Stand,3,29.95
5387,1154,Noise Cancelling Headphones,2,129.0
5388,1155,USB-C Hub,3,34.5
5389,1156,Laptop Stand,3,29.95
5390,1156,Standing Desk Converter,3,159.0
5391,1156,27in Monitor,1,219.0
5392,1156,27in Monitor,3,219.0
5393,1157,Wireless Mouse,1,18.99
5394,1157,USB-C Hub,1,34.5
5395,1157,Bluetooth Speaker,2,39.0
5396,1157,Laptop Stand,2,29.95
5397,1158,Portable SSD 1TB,1,89.99
5398,1159,Laptop Stand,2,29.95
5399,1159,Desk Lamp,1,24.5
5400,1159,Portable SSD 1TB,1,89.99
5401,1159,Office Chair,2,189.0
5402,1160,Laptop Stand,3,29.95
5403,1160,Webcam 1080p,1,45.0
5404,1160,USB-C Hub,1,34.5
5405,1160,Standing Desk Converter,1,159.0
5406,1161,Office Chair,2,189.0
5407,1161,Office Chair,1,189.0
5408,1161,Webcam 1080p,2,45.0
5409,1161,Standing Desk Converter,2,159.0
5410,1162,Portable SSD 1TB,2,89.99
5411,1162,Standing Desk Converter,2,159.0
5412,1163,USB-C Hub,1,34.5
5413,1163,USB-C Hub,2,34.5
5414,1164,Standing Desk Converter,2,159.0
5415,1164,USB-C Hub,3,34.5
5416,1165,Bluetooth Speaker,2,39.0
5417,1165,Standing Desk Converter,1,159.0
5418,1165,Office Chair,3,189.0
5419,1166,Webcam 1080p,1,45.0
5420,1166,Standing Desk Converter,3,159.0
5421,1166,Standing Desk Converter,3,159.0
5422,1167,Laptop Stand,3,29.95
5423,1167,Mechanical Keyboard,1,79.99
5424,1168,27in Monitor,1,219.0
5425,1168,Desk Lamp,1,24.5
5426,1169,Office Chair,3,189.0
5427,1169,Laptop Stand,2,29.95
5428,1169,Office Chair,1,189.0
5429,1170,USB-C Hub,2,34.5
5430,1171,Standing Desk Converter,3,159.0
5431,1171,Desk Lamp,3,24.5
5432,1171,Noise Cancelling Headphones,2,129.0
5433,1171,Portable SSD 1TB,1,89.99
5434,1172,Laptop Stand,3,29.95
5435,1172,USB-C Hub,2,34.5
5436,1173,Bluetooth Speaker,3,39.0
5437,1173,Laptop Stand,1,29.95
5438,1173,Office Chair,3,189.0
5439,1173,Portable SSD 1TB,1,89.99
5440,1174,Noise Cancelling Headphones,3,129.0
5441,1174,Wireless Mouse,1,18.99
5442,1175,Webcam 1080p,1,45.0
5443,1175,27in Monitor,2,219.0
5444,1176,Laptop Stand,3,29.95
5445,1176,Webcam 1080p,1,45.0
